name,latitude,longitude
Location 1,40.7128,-74.0060
Location 2,34.0522,-118.2437
Location 3,51.5074,-0.1278
Location 4,52.5200,13.4050
Location 5,48.8566,2.3522
Location 6,37.7749,-122.4194
Location 7,19.4326,-99.1332
Location 8,35.6895,139.6917
Location 9,53.3498,-6.2603
Location 10,55.7558,37.6176
Location 11,37.7749,-122.4194
Location 12,52.5200,13.4050
Location 13,34.0522,-118.2437
Location 14,40.7128,-74.0060
Location 15,51.5074,-0.1278
Location 16,48.8566,2.3522
Location 17,19.4326,-99.1332
Location 18,35.6895,139.6917
Location 19,53.3498,-6.2603
Location 20,55.7558,37.6176
Location 21,37.7749,-122.4194
Location 22,52.5200,13.4050
Location 23,34.0522,-118.2437
Location 24,40.7128,-74.0060
Location 25,51.5074,-0.1278
Location 26,48.8566,2.3522
Location 27,19.4326,-99.1332
Location 28,35.6895,139.6917
Location 29,53.3498,-6.2603
Location 30,55.7558,37.6176
Location 31,37.7749,-122.4194
Location 32,52.5200,13.4050
Location 33,34.0522,-118.2437
Location 34,40.7128,-74.0060
Location 35,51.5074,-0.1278
Location 36,48.8566,2.3522
Location 37,19.4326,-99.1332
Location 38,35.6895,139.6917
Location 39,53.3498,-6.2603
Location 40,55.7558,37.6176
Location 41,37.7749,-122.4194
Location 42,52.5200,13.4050
Location 43,34.0522,-118.2437
Location 44,40.7128,-74.0060
Location 45,51.5074,-0.1278
Location 46,48.8566,2.3522
Location 47,19.4326,-99.1332
Location 48,35.6895,139.6917
Location 49,53.3498,-6.2603
Location 50,55.7558,37.6176
